time,V,V_dot,stability_bound,task_error,u_0 (A Flexor),u_1 (A Extensor),u_2 (B Flexor),u_3 (B Extensor),tau_0,tau_1,tau_2,tau_3
0.0,66.58773104653682,[-3948.41558859],-1728.8245537096554,0.18601075237738274,0.0,0.9999999999357376,0.9999999974021659,-0.0,-0.09999999999357377,-0.09999999999357377,0.0999999997402166,0.0999999997402166
0.002,65.40844678750003,[-3882.0435896],-1701.762030015217,0.18601075237738274,0.0,1.000000003879927,0.9999999989346935,-0.0,-0.10000000038799271,-0.10000000038799271,0.09999999989346936,0.09999999989346936
0.004,64.69347441043845,[-4100.89566204],-1944.4465150200906,0.18582192188674237,0.0,0.9999999998309185,0.9999999986442931,-0.0,-0.09999999998309185,-0.09999999998309185,0.09999999986442931,0.09999999986442931
0.006,64.16968978033474,[-4174.25957065],-2035.2699113086123,0.18553896265159012,0.0,0.9999999999698562,0.9999999996309142,-0.0,-0.09999999999698563,-0.09999999999698563,0.09999999996309143,0.09999999996309143
0.008,63.748742254596316,[-4194.16911427],-2069.2110391193655,0.1852032634226344,0.0,0.9999999998889839,0.9999999998681512,-0.0,-0.0999999999888984,-0.0999999999888984,0.09999999998681514,0.09999999998681514
0.01,63.39118196628594,[-4168.05275582],-2055.013356940541,0.18483753016872057,0.0,0.9999999999800285,0.9999999939515664,-0.0,-0.09999999999800285,-0.09999999999800285,0.09999999939515664,0.09999999939515664
0.012,63.07585291132126,[-4145.71633767],-2043.1879072940399,0.1844553178029777,0.0,0.9999999999128943,1.0000000001582465,-0.0,-0.09999999999128945,-0.09999999999128945,0.10000000001582465,0.10000000001582465
0.014,62.79040313666498,[-4133.66032876],-2040.6468908725233,0.1840650483391648,0.04928397524159003,-0.0,0.9999999967373888,-0.0,0.004928397524159004,0.004928397524159004,0.09999999967373889,0.09999999967373889
0.016,62.289337700345705,[-4110.94871292],-2034.6374562370638,0.18367209227331432,0.4014423077149122,-0.0,0.9999999999992797,-0.0,0.04014423077149122,0.04014423077149122,0.09999999999992798,0.09999999999992798
0.018000000000000002,61.49618966379904,[-4059.53207647],-2009.6590876780526,0.18323644966978458,0.0,0.9999999999565308,0.9999999996666299,-0.0,-0.09999999999565308,-0.09999999999565308,0.09999999996666299,0.09999999996666299
0.020000000000000004,60.83263725018253,[-4006.48816781],-1978.7335928064895,0.182712724791154,0.0,0.9999999999664887,0.9999999997808011,-0.0,-0.09999999999664888,-0.09999999999664888,0.09999999997808012,0.09999999997808012
0.022000000000000006,60.3900427222593,[-3982.42025999],-1969.4188359113577,0.18213737215074505,0.9999999999835388,-0.0,0.9971088393762308,-0.0,0.09999999999835389,0.09999999999835389,0.09971088393762309,0.09971088393762309
