time,V,V_dot,stability_bound,task_error,u_0 (A Flexor),u_1 (A Extensor),u_2 (B Flexor),u_3 (B Extensor),tau_0,tau_1,tau_2,tau_3
0.0,66.58773104653682,[-1585.68891977],633.90211513941,0.18601075237738274,0.9999999969297665,-0.0,0.9999999975805187,-0.0,0.09999999969297665,0.09999999969297665,0.09999999975805188,0.09999999975805188
0.002,64.70271566383273,[-1616.10342438],540.6537644125265,0.18601075237738274,1.0000000000341303,-0.0,0.9999999996258836,-0.0,0.10000000000341303,0.10000000000341303,0.09999999996258836,0.09999999996258836
0.004,63.0573792294284,[-2195.45656898],-93.54392799749894,0.1856983700161267,1.0000000002451808,-0.0,0.9999999975775322,-0.0,0.10000000002451809,0.10000000002451809,0.09999999975775323,0.09999999975775323
0.006,61.49130850321714,[-2425.67472816],-375.9644447173864,0.18513553555889822,1.0000000002265959,-0.0,0.999999998163738,-0.0,0.10000000002265959,0.10000000002265959,0.09999999981637381,0.09999999981637381
0.008,59.93612419638628,[-2552.9512941],-555.0804875515794,0.18435512890786154,1.0000000000487077,-0.0,0.9999999996529423,-0.0,0.10000000000487078,0.10000000000487078,0.09999999996529424,0.09999999996529424
0.01,58.360010911109946,[-2633.4516484],-688.1179513652346,0.18337635526744858,1.0000000002768852,-0.0,0.9999999981972121,-0.0,0.10000000002768852,0.10000000002768852,0.09999999981972121,0.09999999981972121
0.012,56.747766614305206,[-2685.69669183],-794.1044713574693,0.1822111185847109,0.9999999997154949,-0.0,0.9999999994010106,-0.0,0.0999999999715495,0.0999999999715495,0.09999999994010106,0.09999999994010106
0.014,55.0928121013761,[-2718.01151126],-881.5844412106134,0.18086709502383222,0.9999999992313786,-0.0,0.9999999985656906,-0.0,0.09999999992313786,0.09999999992313786,0.09999999985656906,0.09999999985656906
0.016,53.39342209724211,[-2688.99631133],-909.2155747445648,0.1793494136354659,0.9999999982996005,-0.0,0.9638966541542052,-0.0,0.09999999982996005,0.09999999982996005,0.09638966541542053,0.09638966541542053
0.018000000000000002,51.69296102971866,[-2609.58989162],-886.491190607891,0.17766164083839808,0.9999999867054389,-0.0,0.8972528421265401,-0.0,0.09999999867054389,0.09999999867054389,0.08972528421265402,0.08972528421265402
0.020000000000000004,50.01631265998974,[-2530.02618289],-862.8157608767447,0.17581623407494668,0.9999999933704253,-0.0,0.8586307116302849,-0.0,0.09999999933704254,0.09999999933704254,0.08586307116302849,0.08586307116302849
0.022000000000000006,48.31889492015005,[-2446.79766134],-836.1678306633695,0.1738301743385272,0.9999999975513781,-0.0,0.847514515858488,-0.0,0.09999999975513782,0.09999999975513782,0.0847514515858488,0.0847514515858488
0.024000000000000007,46.57666316966749,[-2357.98429416],-805.428855168274,0.17170745871224197,0.9999999998254,-0.0,0.8302528312688728,-0.0,0.09999999998254,0.09999999998254,0.08302528312688728,0.08302528312688728
0.02600000000000001,44.81042034186107,[-2265.37354562],-771.6928675546776,0.16944436860201328,0.9999999999896728,-0.0,0.7978337909395526,-0.0,0.09999999999896729,0.09999999999896729,0.07978337909395528,0.07978337909395528
