Robot,Controller,Kp,epsilon,w1,w2,w3,w4,rho
Finger,CLF-QP,500.0,0.05,1,0.2,0.5,0.1,1000
Finger,ID-CLF-QP,500.0,0.03,1,0.2,0.2,0.1,1000
Finger,IC,500.0,0.03,--,0.2,0.2,0.1,1000
Finger,UIC,500.0,0.03,--,0.2,0.2,0.1,1000
Finger,EOSC,500.0,0.03,--,0.2,0.2,0.1,1000
Finger,IC-QP,500.0,0.03,1,0.2,0.2,0.1,1000
Helix,CLF-QP,500.0,0.05,1,0.2,0.2,0.1,1000
Helix,ID-CLF-QP,500.0,0.05,1,0.2,0.2,0.1,1000
Helix,IC,2000.0,0.05,--,0.2,0.2,0.1,1000
Helix,UIC,1000.0,0.05,--,0.2,0.2,0.1,1000
Helix,EOSC,2000.0,0.05,--,0.2,0.2,0.1,1000
Helix,IC-QP,500.0,0.05,1,0.2,0.2,0.1,1000
SpiRob,CLF-QP,500.0,0.01,1,0.2,0.5,0.1,1000
SpiRob,ID-CLF-QP,500.0,0.01,1,0.2,0.5,0.1,1000
SpiRob,IC,500.0,0.01,--,0.2,0.5,0.1,1000
SpiRob,UIC,500.0,0.01,--,0.2,0.5,0.1,1000
SpiRob,EOSC,500.0,0.01,--,0.2,0.5,0.1,1000
SpiRob,IC-QP,500.0,0.01,1,0.2,0.5,0.1,1000
