# ===== Simulation Performance =====
# wall_clock_time,3.633574
# physics_time,0.030000
# real_time_factor,0.008256
# control_time,0.006711
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.0075,"[0.0, 0.0, 0.2575]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.4670424094193467,-3.1305518909175655e-10,4.10004818277644e-15,1.2816822400777308e-10,24.99995786766443,-4.7380991632696714e-14,1.351134972233268e-10,0.0011127453664990922,-2.831290186652886e-09,2.5315376545952595
0.0375,0.045,"[0.05173548372189928, 0.02211779754360484, -0.125785983644049]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.7396202539894383,25.00117467445653,25.01733965997136,25.009986778636286,-25.001424119512233,24.98845639950608,0.0013312134126678202,9.830443315979963,-24.997667777315673,-0.018595678592936076
0.0075,0.015,"[5.065991577408751e-13, -1.1002395902595306e-14, 0.25694818750000015]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.46737745462642455,-24.99936492945705,-4.520316531860428e-14,9.314270862311418e-10,24.999747140151097,-1.4367347962813724e-13,1.0173822329665022e-09,0.0011147366722334606,-2.7602038520866136e-09,2.4679818004344627
0.045,0.0525,"[-0.11130558011642219, 1.125965755660909, 0.6892192019898409]","[0.37123106012293744, 0.0, 0.5409009742330267]",1.2339525066952346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.0225,"[0.0889114375039449, -1.0937970032724464e-10, 0.3957182203599846]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.3174624408302354,-7.702683155628608,-2.388677000981698e-08,0.32720989613568296,-9.865785527144668,-1.1754156560433509e-08,-0.23077010314436955,0.0169054781874255,1.0309014020287813e-09,-0.9122913184435184
0.0525,0.06,"[-2.747355723139667, -0.2980588026726862, -0.5961075184847776]","[0.37123106012293744, 0.0, 0.5409009742330267]",3.3327482483835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0225,0.03,"[0.09683875248626403, -0.0019042497596770684, 0.1345901964620477]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.49028890747209847,25.041699151147398,-0.0336630145930598,24.641700880485512,-24.698658648461876,0.005597898412958473,24.12508308723584,-2.2069842324877316,0.001525640212768377,0.6523842910152947
0.06,0.0675,"[-13.58845977878275, -36.132515867052135, -10.001246401414477]","[0.37123106012293744, 0.0, 0.5409009742330267]",40.144346332833386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0375,"[0.11679332702696066, 0.0028344707400183205, 0.36516470775669435]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.3092407308270307,24.99995708815868,-1.1816508303150322,0.0007162560048448275,-24.9999318643985,-2.563046391942485,24.99956612815758,13.6926158669436,0.38790182518207156,-0.0007899857037834552
0.0675,0.0075,"[0.0, 0.0, 0.2575]","[0.37123106012293744, 0.0, 0.5409009742330267]",60954.25495328073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0375,0.045,"[0.7759150916775339, 0.14358863711244, 0.44158103473565136]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.44073950638086884,17.56909542894107,25.18968307319716,25.04005262824317,24.99328369051893,-24.928503555277842,24.942059682894318,1.038978226628924,-0.12891865174780548,25.11092658171894
