# ===== Simulation Performance =====
# wall_clock_time,3.030514
# physics_time,0.037500
# real_time_factor,0.012374
# control_time,0.008521
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.0075,"[0.0, 0.0, 0.2575]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.4670424094193467,6.0881024831858625e-09,6.662849533808491e-15,-4.931951002196603e-10,25.000088383394573,-1.4620720789425628e-13,-4.739578469380722e-10,0.00111395712277818,-2.7913768855225933e-09,2.4958500662781447
0.0375,0.045,"[-0.021129339484795645, 0.02234244474466369, -0.1024325790417952]","[0.3696233349682735, 0.0, 0.5424166995279416]",0.7543324396453494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07500000000000001,0.0075,"[0.0, 0.0, 0.2575]","[0.3679250044673219, 0.0, 0.5438391102487599]",1479.1022704548743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0375,0.045,"[0.9568449850783658, 0.12345512416805068, 0.6019505676581086]","[0.3696233349682735, 0.0, 0.5424166995279416]",0.6030047391985478,-25.009503758520648,-24.966784140642478,0.06351762002493176,25.005710799981365,24.998376904721997,25.017600836673004,3.553682448822713,10.357691733522655,0.15439348341114645
0.015,0.0225,"[0.08904866679926415, -1.0785616050805375e-10, 0.39559280258733837]","[0.3705989337263029, 0.0, 0.5415183797582521]",0.31711957820253084,-8.139942805892469,4.554986732075259e-10,-0.1017602776359807,-10.328136639391138,4.679723374975518e-10,0.09515522737083403,0.01688340663481602,-2.663597245833559e-10,0.24729189959423062
0.0525,0.06,"[-7.841150015896827, 2.113614907951351, 6.494907081396664]","[0.368954794662662, 0.0, 0.5429969324814331]",10.358495228567053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0375,"[0.13052768163897865, 0.0031518751659780518, 0.3713153735399121]","[0.3699521741908963, 0.0, 0.5421209787225365]",0.29412340388450514,25.000006976491076,-0.42663924895187466,-9.379187433866855e-05,-25.00001159042438,-2.791042666173638,24.999874603861386,18.694055791651188,0.2563813831565038,-0.000102072491313389
0.0075,0.015,"[5.065991577408751e-13, -1.1002395902595306e-14, 0.25694818750000015]","[0.3709168315980005, 0.0, 0.5412115225081873]",0.4673167443953838,-24.999415104897366,-3.3786466652573874e-14,5.766740620850655e-10,24.99982109141766,-1.0145583919161962e-13,6.443390277531355e-10,0.001115950236449544,-2.7196260381190643e-09,2.431699896466206
0.045,0.0525,"[0.148198394851337, -1.512268143697276, 0.7057119435374504]","[0.3692908712802839, 0.0, 0.5427086874913466]",1.5370123236515447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0225,0.03,"[0.09332530150310603, -0.0020298087834185793, 0.13057985177067113]","[0.37027737753817846, 0.0, 0.5418215353359717]",0.4958087280851927,24.89780912642718,-0.04238768878398256,23.62175996688539,-24.4228337857584,0.007082205804544301,23.393499681948477,-2.058515336123849,0.00211002624983971,1.9344598843102465
