# ===== Simulation Performance =====
# wall_clock_time,42.466995
# physics_time,10.002000
# real_time_factor,0.235524
# control_time,0.006935
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2
0.0,0.002,"[1.7645352600151104e-06, 2.486319227125697e-16, 0.019619730003240746]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4876676864576202,-6.812317942356544e-11,-6.811776366825911e-11,-6.813312755587665e-11
0.01,0.012,"[0.017591743178956, 7.252043457252103e-05, 0.020155341431753508]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.47621615510797827,-1.4468777361399983,-8.746885989648186,-9.03643229016031
0.020000000000000004,0.022000000000000006,"[0.05982345983744948, 0.00025750081747275884, 0.025757249917788376]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.44676890278156683,-9.821694841565714,-14.011420691933914,-14.281506584429259
0.030000000000000013,0.032000000000000015,"[0.10870277226483534, 0.00045730998289346116, 0.04002062189732132]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4087672286654758,-20.991708942053037,-23.538876276234188,-23.656105534653072
0.04000000000000002,0.04200000000000002,"[0.1552185925273453, 0.0005814422329548924, 0.0621334265163148]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.36770358809377546,-33.26051256014197,-34.471966114383804,-34.490802273814786
0.05000000000000003,0.05200000000000003,"[0.19470467145569062, 0.0006246693062260408, 0.08863982455681177]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.3278739205578596,-43.36007267692534,-43.59869736991136,-43.58849730592658
0.06000000000000004,0.06200000000000004,"[0.2260847449104658, 0.0006239458684277434, 0.11598657519630541]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.2918273778428985,-49.24829302342708,-48.9993849987289,-48.99021787270537
0.07000000000000005,0.07200000000000005,"[0.2505166500594326, 0.0006088828774055433, 0.1422250592447551]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.2600838049894011,-51.37357352806483,-50.97398555296524,-50.96788826406711
0.08000000000000006,0.08200000000000006,"[0.26969569238446983, 0.0005914333913237757, 0.16689625061067737]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.23198144606640528,-50.88230293424253,-50.466499419083796,-50.46146974641576
0.09000000000000007,0.09200000000000007,"[0.28499852773521867, 0.0005746630689901423, 0.1901561795141857]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.20665028259255933,-48.550105261262516,-48.13017617748898,-48.12637863635076
