# ===== Simulation Performance =====
# wall_clock_time,6.032294
# physics_time,10.010000
# real_time_factor,1.659402
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2
0.0,0.01,"[1.7645352600151104e-06, 2.486319227125697e-16, 0.019619730003240746]","[0.42721034696687243, 0.0, 0.30849191342864335]",0.5157075830935466,-6.0417600167784264e-12,-6.0417600167784264e-12,-6.0417600167784264e-12
0.05,0.060000000000000005,"[0.034311895497144355, 0.00032614905482831585, 0.021356849174828295]","[0.42538443289453937, 0.0, 0.31013610960023175]",0.4861391746521626,-8.032859439137985,-8.711288225402127,-8.85423669658242
0.09999999999999999,0.10999999999999999,"[0.08482907015778875, 0.000861954060782148, 0.029945571197022534]","[0.4233796163486163, 0.0, 0.3115960526397527]",0.44039097287277845,-16.665297160180753,-17.135522698991615,-17.19303377039451
0.15,0.16,"[0.13181264979924248, 0.0010436826030229469, 0.044406053395332885]","[0.42119898861090516, 0.0, 0.312869491420858]",0.39473809028351853,-19.907141225810243,-20.35975435239369,-20.37543016274601
0.20000000000000004,0.21000000000000005,"[0.1832429876038526, 0.0010851884226599567, 0.06813412326560914]","[0.41884591205132227, 0.0, 0.31395446239324776]",0.34049604222507496,-16.781139472739266,-17.12882518834525,-17.13406407527641
0.25000000000000006,0.26000000000000006,"[0.2355793556018789, 0.0010830626142927524, 0.10248825183039945]","[0.4163240149433682, 0.0, 0.314849292610323]",0.2788673816462403,-11.906905949514758,-12.15114715153248,-12.154420967473213
0.3000000000000001,0.3100000000000001,"[0.28121528469293594, 0.001065232279689365, 0.14366932113189157]","[0.41363718586959264, 0.0, 0.3155526023087475]",0.21698054516286025,-8.541563787592924,-8.728672721540928,-8.731035331208895
0.35000000000000014,0.36000000000000015,"[0.31590506542523217, 0.0010413020765741153, 0.18538331592814442]","[0.4107895677256821, 0.0, 0.31606330703594315]",0.16149740915182856,-6.866584744034011,-7.017037734983859,-7.018494868546369
0.4000000000000002,0.4100000000000002,"[0.3388901384944359, 0.0010185604849403348, 0.22083128198810706]","[0.4077855513324151, 0.0, 0.31638061932223727]",0.11780191526697893,-6.744300677402997,-6.919370550924372,-6.920059063985351
0.45000000000000023,0.46000000000000024,"[0.3522658576248868, 0.0010016205627087905, 0.24606393097815563]","[0.40462976866533445, 0.0, 0.3165040498950837]",0.08777694900276792,-6.512293517234452,-6.780716506965991,-6.781116832059271
0.5000000000000002,0.5100000000000002,"[0.3575445699000628, 0.0009927679199333596, 0.257653038013739]","[0.40132708571257725, 0.0, 0.31643340843348544]",0.07330092922807002,-4.286977996607566,-4.800899660446484,-4.800782800936498
0.5500000000000003,0.5600000000000003,"[0.3580645137274755, 0.0009891979401867137, 0.259219053689946]","[0.3978825949718733, 0.0, 0.3161688038614562]",0.06949627436883041,-4.261476781266709,-4.819152721410606,-4.818885459721341
0.6000000000000003,0.6100000000000003,"[0.35840848337112563, 0.0009856818516857397, 0.2603915095786053]","[0.39430160759828314, 0.0, 0.31571064418006695]",0.06595069816577787,-4.163764766035771,-4.708562120110714,-4.708235415731515
0.6500000000000004,0.6600000000000004,"[0.35872153866306405, 0.0009821418567266182, 0.26149582494608664]","[0.3905896452147817, 0.0, 0.31505963583833846]",0.062334762814334,-4.064964088392883,-4.5963514803188446,-4.59596678207208
0.7000000000000004,0.7100000000000004,"[0.3590036868909581, 0.0009785691194438002, 0.26252927188804864]","[0.386752431398316, 0.0, 0.3142167826439476]",0.058673240812122565,-3.965097557892411,-4.4825806609577645,-4.482139170510113
0.7500000000000004,0.7600000000000005,"[0.35925501412103794, 0.0009735634889477455, 0.26348931589292374]","[0.38279588285446414, 0.0, 0.3131833842154289]",0.05499655219223499,-3.864143387752015,-4.367245978198087,-4.366755603561765
