# ===== Simulation Performance =====
# wall_clock_time,33.449557
# physics_time,0.762000
# real_time_factor,0.022781
# control_time,0.072715
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2
0.0,0.002,"[1.7645352600151104e-06, 2.486319227125697e-16, 0.019619730003240746]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4876676864576202,0.008156085112918243,-0.0001424139621947329,-0.008152804779640447
0.01,0.012,"[7.510550320619547e-05, 0.00012320821158414325, 0.019619760979912058]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4876208909177839,0.0075600436012325,-7.495504208389979e-05,-0.0075641036132744165
0.020000000000000004,0.022000000000000006,"[0.03099516097790743, 0.005512200743342287, 0.021378950688810086]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.46712623175243007,-0.5840425677493545,-1.2483476447455617,-1.1686457563625163
0.030000000000000013,0.032000000000000015,"[0.13305438263740327, 0.00913550663665323, 0.052727448527719226]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.3860629294889386,-0.8178847702168108,-1.1020562432036727,-1.0613335692997485
0.04000000000000002,0.04200000000000002,"[0.227271361005506, 0.009542958672304805, 0.13150608249142667]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.27682027584058855,-0.9340983349916393,-1.0299698441886869,-1.0017318637467199
0.05000000000000003,0.05200000000000003,"[0.27835935485355157, 0.008149339815127325, 0.23349556642596286]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.1651404718271231,-1.0806374604535656,-0.9762701287958168,-0.9552499358961697
0.06000000000000004,0.06200000000000004,"[0.28846009016972946, 0.006330009663630244, 0.32530489768847004]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.0737007622635675,-1.192167240425832,-0.8940185303714043,-0.883408943735439
0.07000000000000005,0.07200000000000005,"[0.2772496030565157, 0.005001833933502591, 0.3942374615067836]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.034256719962369786,-0.17506018118267386,0.07548712825954841,0.08044724323534426
0.08000000000000006,0.08200000000000006,"[0.26540183034932846, 0.004365340403644829, 0.4330469390027062]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.05955029056134431,-0.06398568831816964,0.03191654661268378,0.033213884194504724
0.09000000000000007,0.09200000000000007,"[0.2574185527124017, 0.004063746083786308, 0.45570407618127406]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.08104471920477738,-0.0236920821440214,0.01333798668003312,0.009329079572646691
0.10000000000000007,0.10200000000000008,"[0.2517269565237958, 0.003892830656637142, 0.470521769642877]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.09604605760873372,-0.007549064389988699,0.00784078212921621,0.0011888629563292957
0.11000000000000008,0.11200000000000009,"[0.24762510834867568, 0.0037893896786584578, 0.48050473084789175]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.10645542761436556,-0.0007707337235305508,0.003628513031435896,-0.0027999128530548766
0.12000000000000009,0.1220000000000001,"[0.24475121060230598, 0.0037387724396976503, 0.4871061084604602]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.11347319088363012,0.004743018588334903,-0.00013124229050161381,-0.0048617987925626315
0.1300000000000001,0.1320000000000001,"[0.24293390520631955, 0.0037266487252506134, 0.49105382122494734]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.11773812678540238,0.01083814393698333,-0.004089911745340698,-0.007161990058835877
