# ===== Simulation Performance =====
# wall_clock_time,31.982484
# physics_time,1.422000
# real_time_factor,0.044462
# control_time,0.033397
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2
0.0,0.002,"[0.09829285229676465, 0.00013722815684825637, 0.049550685439702]","[0.29168154723945083, 0.0, 0.3704504871165134]",0.3746677046122594,0.00013661281824193939,-0.8974862926589846,-0.8981681015111506
0.01,0.012,"[0.13259147632863277, 0.0003207190450034242, 0.053193198710577975]","[0.2913462395591875, 0.0, 0.3707816074920327]",0.3550571434310704,0.1803380976955903,-0.09380499449448611,-0.09223796179608985
0.020000000000000004,0.022000000000000006,"[0.1699833525656128, -0.0001295737125807877, 0.062435148855670426]","[0.29100675781155305, 0.0, 0.37110852749074247]",0.33155080468106335,0.2713574280983002,-0.19319749717343573,-0.1944189440153652
0.030000000000000013,0.032000000000000015,"[0.21888916326928734, -0.0002844884095980658, 0.08550072103791496]","[0.2906631153987058, 0.0, 0.37143123420640095]",0.2948013559987894,-0.883717110282877,-1.056393339326213,-1.0585398732544318
0.04000000000000002,0.04200000000000002,"[0.26934125509435913, -0.00028452736771554185, 0.12620496809508527]","[0.29031532588705966, 0.0, 0.3717497148990996]",0.246439070125838,-0.9462780679542298,-1.0290210448097905,-1.0326434710365338
0.05000000000000003,0.05200000000000003,"[0.305931897413864, -0.00023512477874794863, 0.17644945353698901]","[0.28996340300674917, 0.0, 0.3720639569957659]",0.19626533586121486,-0.9595388135945752,-1.0001224306124477,-1.03542845804545
0.06000000000000004,0.06200000000000004,"[0.3232385471970943, 0.0010438292169074462, 0.21993907497852602]","[0.28960736065108683, 0.0, 0.37237394809066]",0.15610424987372637,0.01201919535062328,-0.008152721680251149,0.005336178809153545
0.07000000000000005,0.07200000000000005,"[0.3284965277321518, 0.0014861426211377174, 0.2519192015969497]","[0.28924721287601546, 0.0, 0.37267967594586426]",0.126987438361207,0.033466849439007566,-0.022060531846441054,-0.01610134038931481
0.08000000000000006,0.08200000000000006,"[0.3283105409886662, 0.0014851555160348335, 0.2779423141112099]","[0.2888829738995525, 0.0, 0.3729811284917664]",0.10290342546453565,0.03316528238345698,-0.020283073624762147,-0.017134927187618373
0.09000000000000007,0.09200000000000007,"[0.32519833234059353, 0.0013887410921960127, 0.2985230194981755]","[0.28851465810122884, 0.0, 0.3732782938275362]",0.0832824807362206,0.029460970587499354,-0.01590861423330606,-0.01387802403984511
