# ===== Simulation Performance =====
# wall_clock_time,40.538798
# physics_time,40.005000
# real_time_factor,0.986832
# control_time,0.004499
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1
0.0,0.005,"[0.24, 0.0, 0.24]","[0.09192388155425114, 0.0, 0.11979184719828692]",0.19072634022064033,0.0,0.0
0.025,0.030000000000000002,"[0.23959844896963792, 0.0, 0.2269043061299962]","[0.09169999498408278, 0.0, 0.12001224435429256]",0.1824825075506642,0.9999269541377,0.6109958586600995
0.049999999999999996,0.05499999999999999,"[0.23378815005564935, 0.0, 0.18906107445444967]","[0.09147263281012998, 0.0, 0.12022913850100075]",0.1580871337457904,1.000000000939905,0.2093076124709174
0.075,0.08,"[0.21810649584850061, 0.0, 0.1440665076177562]","[0.09124180905716257, 0.0, 0.12044251625935881]",0.12904550252668992,1.000001423847652,-0.263181635682425
0.10000000000000002,0.10500000000000002,"[0.19073595296073315, 0.0, 0.0993788194258827]","[0.0910075379634769, 0.0, 0.12065236446722158]",0.10197215539788712,1.00253426178393,-0.31202376463335324
0.12500000000000003,0.13000000000000003,"[0.15315808027990138, 0.0, 0.061358882758285924]","[0.09076983398001755, 0.0, 0.12085867018016308]",0.08621205240349832,0.971998819510636,-0.5886608914910747
0.15000000000000005,0.15500000000000005,"[0.11064458911727167, 0.0, 0.03459425751665563]","[0.09052871176948595, 0.0, 0.12106142067227518]",0.08877622894475577,0.8531567074114809,-0.7337350630966988
0.17500000000000007,0.18000000000000008,"[0.06939325131436497, 0.0, 0.019905912926757766]","[0.09028418620543577, 0.0, 0.12126060343695243]",0.10348528614755,0.8648661751521113,-0.9725766228016792
0.2000000000000001,0.2050000000000001,"[0.03600059764886166, 0.0, 0.015198694683875913]","[0.09003627237135567, 0.0, 0.12145620618766372]",0.11920785583883628,-1.0000506629462649,-0.9999999548612656
0.22500000000000012,0.23000000000000012,"[0.020386340401177507, 0.0, 0.016077376440169093]","[0.08978498555973867, 0.0, 0.12164821685871]",0.1263383326489665,1.001179177372561,-0.999991950203743
0.2500000000000001,0.2550000000000001,"[0.01893917707915811, 0.0, 0.020262108641557204]","[0.08953034127113897, 0.0, 0.12183662360596867]",0.12369516786129785,-0.9999970265693332,-0.9999999723728142
0.27500000000000013,0.28000000000000014,"[0.027093098418014383, 0.0, 0.02602293394572986]","[0.08927235521321585, 0.0, 0.12202141480762399]",0.11437643246488789,1.0000189607042074,-0.9999997752601739
0.30000000000000016,0.30500000000000016,"[0.04011214940056669, 0.0, 0.03498897608669022]","[0.08901104329976452, 0.0, 0.12220257906488426]",0.09998657094331749,1.0006654134214807,-0.99999526490767
0.3250000000000002,0.3300000000000002,"[0.05206513560398063, 0.0, 0.046472158168487473]","[0.0887464216497347, 0.0, 0.12238010520268472]",0.08430618701445895,-0.9996812246999234,-1.0000020082724677
0.3500000000000002,0.3550000000000002,"[0.06424053490025285, 0.0, 0.06011189792667469]","[0.08847850658623625, 0.0, 0.12255398227037699]",0.06698128969075293,0.017486065357596982,-0.9495719063535524
0.3750000000000002,0.3800000000000002,"[0.07404542772461997, 0.0, 0.07458901415462636]","[0.0882073146355323, 0.0, 0.12272419954240447]",0.050175244027241536,-0.1841256239633939,-0.9161476012850611
0.40000000000000024,0.40500000000000025,"[0.08363396634787347, 0.0, 0.09108754640899999]","[0.08793286252601974, 0.0, 0.12289074651896406]",0.03209242972392242,-0.10095750720077303,-0.9020695197524538
0.42500000000000027,0.43000000000000027,"[0.09006575018122329, 0.0, 0.10815924979535096]","[0.08765516718719751, 0.0, 0.12305361292665373]",0.015088172966207587,-0.008062179349918177,-0.8744948637361447
0.4500000000000003,0.4550000000000003,"[0.0920747535780676, 0.0, 0.12357030806469149]","[0.08737424574862222, 0.0, 0.12321278871910621]",0.004714084634066835,0.09510844740364814,-0.8392259234908579
0.4750000000000003,0.4800000000000003,"[0.0899732049563873, 0.0, 0.135770243861765]","[0.08709011553885135, 0.0, 0.12336826407760894]",0.012732686564748368,0.1918271868527173,-0.7941937475302281
0.5000000000000003,0.5050000000000003,"[0.08487267301025181, 0.0, 0.14425473910812633]","[0.08680279408437466, 0.0, 0.12352002941170943]",0.02082435001519755,0.27478033886698183,-0.7393917739226504
0.5250000000000004,0.5300000000000004,"[0.07800685884343472, 0.0, 0.14940528919625928]","[0.08651229910853292, 0.0, 0.12366807535980696]",0.02710621128388153,0.4040725727759518,-0.6796048788067225
0.5500000000000004,0.5550000000000004,"[0.07119090517343996, 0.0, 0.15231606887598398]","[0.08621864853042452, 0.0, 0.1238123927897301]",0.0322225483292907,0.999967262894013,-0.5922371690903023
0.5750000000000004,0.5800000000000004,"[0.059556042842015454, 0.0, 0.14904449709879808]","[0.08592186046380038, 0.0, 0.1239529727993]",0.03639699067969119,0.9999793182199733,-0.4143675855638426
0.6000000000000004,0.6050000000000004,"[0.04598966916846023, 0.0, 0.14160504745980812]","[0.08562195321594641, 0.0, 0.12408980671687944]",0.043330146516061735,1.0000020088981725,-0.19567155135327577
0.6250000000000004,0.6300000000000004,"[0.031307993070341905, 0.0, 0.13210535313927366]","[0.08531894528655438, 0.0, 0.12422288610190788]",0.054583113193524845,1.0000175971106409,0.2979841351189443
0.6500000000000005,0.6550000000000005,"[0.02022633596514506, 0.0, 0.11992264790010106]","[0.08501285536658068, 0.0, 0.12435220274542196]",0.06493777061372141,-1.0001243637649413,-0.5864762660288819
0.6750000000000005,0.6800000000000005,"[0.026058181364680452, 0.0, 0.11141841215468615]","[0.08470370233709332, 0.0, 0.12447774867056201]",0.06008197234079958,-1.000003696287256,0.6498793026287553
0.7000000000000005,0.7050000000000005,"[0.03588222630519211, 0.0, 0.10428914746443882]","[0.08439150526810742, 0.0, 0.12459951613306396]",0.052589554295101294,-1.0005609921726915,0.3663103748945032
0.7250000000000005,0.7300000000000005,"[0.047129342580317854, 0.0, 0.09934397293614503]","[0.08407628341740886, 0.0, 0.12471749762173716]",0.04482066702080477,0.2245065269352673,0.25169555356176715
0.7500000000000006,0.7550000000000006,"[0.05795868496175581, 0.0, 0.09634876372839221]","[0.08375805622936613, 0.0, 0.12483168585892764]",0.03843025384899431,-0.20377280009754115,0.24964258936126094
0.7750000000000006,0.7800000000000006,"[0.06797890497524355, 0.0, 0.09441809169806883]","[0.08343684333373118, 0.0, 0.12494207380096706]",0.03421492863813769,-0.2211692816077749,0.2050313250468114
0.8000000000000006,0.8050000000000006,"[0.07647887998532443, 0.0, 0.09323396492954794]","[0.08311266454442849, 0.0, 0.12504865463860715]",0.03249894735003467,-0.13439297807531447,0.1431677054006484
0.8250000000000006,0.8300000000000006,"[0.08313992319079497, 0.0, 0.09245934404718668]","[0.0827855398583328, 0.0, 0.12515142179743988]",0.03269399845804925,-0.07928296465840388,0.08107229823313208
0.8500000000000006,0.8550000000000006,"[0.08798718301547181, 0.0, 0.09190756799720515]","[0.08245548945403562, 0.0, 0.12525036893830274]",0.03379855038689224,-0.03377904276031115,0.015524641830420663
0.8750000000000007,0.8800000000000007,"[0.09120958778404722, 0.0, 0.0915462089264388]","[0.0821225336906006, 0.0, 0.12534548995767003]",0.03499951357269658,0.001860551256209213,-0.05073249141230571
0.9000000000000007,0.9050000000000007,"[0.09308079108411099, 0.0, 0.0914389383829826]","[0.08178669310630753, 0.0, 0.12543677898802924]",0.035824709558325556,0.029283770795466665,-0.11604246120598663
0.9250000000000007,0.9300000000000007,"[0.09389469441339415, 0.0, 0.09169237521840103]","[0.08144798841738563, 0.0, 0.12552423039824295]",0.03604878520922545,0.049920364032396726,-0.17861446088369448
0.9500000000000007,0.9550000000000007,"[0.0939246096250776, 0.0, 0.09241246852375003]","[0.08110644051673563, 0.0, 0.12560783879389617]",0.03558423902041682,0.06520414820039001,-0.23703207419857902
0.9750000000000008,0.9800000000000008,"[0.093400599624455, 0.0, 0.09367784625975498]","[0.08076207047264075, 0.0, 0.12568759901762935]",0.034414483734926275,0.07630907232238723,-0.29006430681978296
1.0000000000000007,1.0050000000000006,"[0.09249934416514019, 0.0, 0.09552584065278655]","[0.08041489952746753, 0.0, 0.12576350614945614]",0.03256301916115056,0.08427509595956287,-0.33669719095610734
1.0250000000000001,1.03,"[0.09134274424620573, 0.0, 0.09794729551471437]","[0.08006494909635513, 0.0, 0.12583555550706702]",0.03008228230774804,0.09003708954841223,-0.37610183722108115
1.0499999999999996,1.0549999999999995,"[0.0900032175476703, 0.0, 0.10088679306062083]","[0.0797122407658946, 0.0, 0.12590374264611834]",0.027050914396492595,0.09442572428818573,-0.40761380851555434
1.074999999999999,1.079999999999999,"[0.0885144798059119, 0.0, 0.10424633401460251]","[0.07935679629279714, 0.0, 0.12596806336050612]",0.02357321982893011,0.09808061120238562,-0.43062023993066717
1.0999999999999985,1.1049999999999984,"[0.08688779178083605, 0.0, 0.10789031977716029]","[0.0789986376025521, 0.0, 0.12602851368262574]",0.019779606462237795,0.10089550436595367,-0.44415784503159006
1.124999999999998,1.129999999999998,"[0.08513033307389256, 0.0, 0.11166157110343784]","[0.07863778678807468, 0.0, 0.12608508988361658]",0.015817428718842275,0.10452875731870255,-0.45028822698771354
1.1499999999999975,1.1549999999999974,"[0.08323851575123603, 0.0, 0.1154153814701433]","[0.07827426610834283, 0.0, 0.126137788473592]",0.01181582779430079,0.10821127557362104,-0.4486924651752235
1.174999999999997,1.1799999999999968,"[0.08122990397036328, 0.0, 0.1190037596822413]","[0.07790809798702435, 0.0, 0.12618660620185485]",0.007913765166800863,0.11131903655431855,-0.439500102285931
1.1999999999999964,1.2049999999999963,"[0.07914892211627536, 0.0, 0.12230142184030846]","[0.07753930501109388, 0.0, 0.12623154005709758]",0.004246963200126715,0.11273544041505847,-0.4237458235274818
1.2249999999999959,1.2299999999999958,"[0.07705698465511546, 0.0, 0.12522171701293225]","[0.07716790992943921, 0.0, 0.12627258726758847]",0.0010567084312169718,0.11161288318786648,-0.40301644775656614
