# ===== Simulation Performance =====
# wall_clock_time,3.099258
# physics_time,1.780000
# real_time_factor,0.574331
# control_time,0.006526
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1
0.0,0.005,17.25285919125964,"[0.24, 0.0, 0.24]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.09468288445399207,0.9999947909014137,0.40876481924712066
0.025,0.030000000000000002,8.440916249388803,"[0.23902776968259762, 0.0, 0.22059246146164443]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.07724759477595404,1.0000055484810526,0.5512827488636857
0.049999999999999996,0.05499999999999999,3.801388083652547,"[0.23388502227201702, 0.0, 0.19034716463464646]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.05027423168661924,-0.4494150252998607,0.1617587473811737
0.075,0.08,1.9066927029538514,"[0.2285060609504712, 0.0, 0.17221468990286593]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.03496477995369756,-0.10257401593585219,0.4142546519635248
0.10000000000000002,0.10500000000000002,1.146616286745259,"[0.2231037907224799, 0.0, 0.15977288068933096]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.025536339202661542,-0.9999998263421177,0.11144887155358779
0.12500000000000003,0.13000000000000003,0.7906393120929969,"[0.2192476601551607, 0.0, 0.15395685910652698]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.021291061491638157,-0.9999938299375246,0.2887314635421553
0.15000000000000005,0.15500000000000005,0.5411056587710765,"[0.21543070416617158, 0.0, 0.15039462194959935]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.01807674090333513,-0.9999151186653389,0.4152162145022834
0.17500000000000007,0.18000000000000008,0.3340555161406651,"[0.21222598993484162, 0.0, 0.15026859291175831]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.01504881941426679,-0.6615407403453062,0.499255710833442
0.2000000000000001,0.2050000000000001,0.17346813963496757,"[0.20861183229502506, 0.0, 0.15102648942967206]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.011393226714156778,-0.6709992235745889,0.5531238703277446
0.22500000000000012,0.23000000000000012,0.06929021872320108,"[0.20469941438832484, 0.0, 0.15263041702289848]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.007166011981580121,-0.5991979806331695,0.5571102332491908
0.2500000000000001,0.2550000000000001,0.04664947196249808,"[0.20038693869101765, 0.0, 0.15457303344475495]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0024648432032328706,-0.4775783927723328,0.577719833033202
0.27500000000000013,0.28000000000000014,0.13087724603789522,"[0.19568546146739357, 0.0, 0.15627838263185123]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.00256710660952534,-0.9999930989238406,0.43028057999519453
0.30000000000000016,0.30500000000000016,0.25290488448220516,"[0.19136427896484645, 0.0, 0.15823608434886482]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.007310275557057902,-0.33263208605510436,0.42623589175312365
0.3250000000000002,0.3300000000000002,0.39567550037838006,"[0.18780306450429526, 0.0, 0.15982229576664975]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.01120840044381727,-1.0000005044922158,0.24903827424412256
0.3500000000000002,0.3550000000000002,0.48787767996368453,"[0.1853476575242528, 0.0, 0.1612283653621161]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.014028791896018305,-0.015743163352628837,0.25080870914857156
0.3750000000000002,0.3800000000000002,0.5130739248456558,"[0.1839087277305464, 0.0, 0.16172592610518127]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.015542174711433182,-0.9967391405918617,0.026298230592832376
0.40000000000000024,0.40500000000000025,0.49206118055584835,"[0.1836780667641215, 0.0, 0.16209512404540358]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.015909191487516162,0.29478428556151004,0.10579056438486097
0.42500000000000027,0.43000000000000027,0.4077194189372132,"[0.1841656185614806, 0.0, 0.16148569673488677]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.015208137207099329,-0.8253119444999149,-0.11624527561601826
0.4500000000000003,0.4550000000000003,0.31011726366894965,"[0.18558803041263494, 0.0, 0.1609796762694633]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.013704899764499383,0.13605652208917438,-0.06905770208334916
0.4750000000000003,0.4800000000000003,0.2022096241463881,"[0.1874232236714661, 0.0, 0.1598875562318605]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.011581266309543778,-0.5620494357070758,-0.1879063888763534
0.5000000000000003,0.5050000000000003,0.11958273140593612,"[0.18964851190092624, 0.0, 0.15896478344930037]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.00917348257683372,-0.13607819926976242,-0.1771250917455166
0.5250000000000004,0.5300000000000004,0.057939026500804396,"[0.19195584447153197, 0.0, 0.1579418779669444]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.006649820491658855,-0.2721040780408436,-0.18205036902675026
0.5500000000000004,0.5550000000000004,0.023323770407005607,"[0.19417062427661158, 0.0, 0.15698464033712767]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.004238289143237485,-0.2719653233228211,-0.1970742126125532
