# ===== Simulation Performance =====
# wall_clock_time,56.286468
# physics_time,40.005000
# real_time_factor,0.710739
# control_time,0.005990
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1
0.0,0.005,17.227753351589627,"[0.24, 0.0, 0.24]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.09468288445399207,0.0,0.0
0.025,0.030000000000000002,9.582561326865738,"[0.23945043885029763, 0.0, 0.22528117124132274]","[0.1977660121620649, 0.0, 0.15536758341361992]",0.08139718171576067,0.999974625724777,0.5190004068864049
0.049999999999999996,0.05499999999999999,4.2902549470552716,"[0.23444694517798892, 0.0, 0.192613061768573]","[0.19753864998811213, 0.0, 0.15558447756032812]",0.05228133799253961,-0.2776680430119013,0.2484444049796425
0.075,0.08,2.021011979072567,"[0.2270737049854601, 0.0, 0.16805852198888263]","[0.1973078262351447, 0.0, 0.15579785531868617]",0.03219210283557356,-0.6929498271643956,0.11583812133978404
0.10000000000000002,0.10500000000000002,1.1525904332662722,"[0.2225423672547979, 0.0, 0.15729923032639861]","[0.19707355514145902, 0.0, 0.15600770352654894]",0.025501537834791196,-0.9991096616739991,0.16210253230223176
0.12500000000000003,0.13000000000000003,0.9158679212439922,"[0.21928808621176354, 0.0, 0.1524912167024324]","[0.19683585115799968, 0.0, 0.15621400923949044]",0.022758779474818903,0.28649790691618127,0.6638943447622835
0.15000000000000005,0.15500000000000005,0.7689118742592698,"[0.21588194506585884, 0.0, 0.149873246792668]","[0.1965947289474681, 0.0, 0.15641675973160254]",0.02036698964450847,-0.999990035004556,0.32810585946863513
0.17500000000000007,0.18000000000000008,0.5014271133870515,"[0.21252721667540087, 0.0, 0.14929925107137088]","[0.1963502033834179, 0.0, 0.1566159424962798]",0.017754710148474098,-1.0000000246817626,0.4765129739691089
0.2000000000000001,0.2050000000000001,0.2915858017593147,"[0.20903957287767735, 0.0, 0.15055523780998079]","[0.19610228954933778, 0.0, 0.1568115452469911]",0.014370618729342293,-1.000002733729057,0.5092892752209027
0.22500000000000012,0.23000000000000012,0.13405398011839992,"[0.20514561020863778, 0.0, 0.15278149315237832]","[0.1958510027377208, 0.0, 0.15700355591803736]",0.010208601375094935,-0.6215587682309986,0.5981517875161876
0.2500000000000001,0.2550000000000001,0.05513729423672517,"[0.20058369268178494, 0.0, 0.15511359470080244]","[0.1955963584491211, 0.0, 0.15719196266529603]",0.005403065439556871,-0.5681851570054832,0.6260403850177548
0.27500000000000013,0.28000000000000014,0.08738863279979056,"[0.19547971171465217, 0.0, 0.15742632603560558]","[0.195338372391198, 0.0, 0.15737675386695132]",0.00014978052029409068,-0.9754045907519968,0.49579209479884156
0.30000000000000016,0.30500000000000016,0.19873882450133531,"[0.19050028727830376, 0.0, 0.15992319180018988]","[0.19507706047774664, 0.0, 0.15755791812421163]",0.005151831953918364,0.04401863939324994,0.6199182738294844
0.3250000000000002,0.3300000000000002,0.36563906492735543,"[0.18588155583998744, 0.0, 0.16185234834340545]","[0.19481243882771682, 0.0, 0.1577354442620121]",0.009834102407231026,-1.000001550040262,0.3403675954427217
