# ===== Simulation Performance =====
# wall_clock_time,0.317477
# physics_time,10.005000
# real_time_factor,31.514048
# control_time,0.000081
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1
0.0,0.005,"[0.24, 0.0, 0.24]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.09468288445399207,0.0,0.0
0.025,0.030000000000000002,"[0.239958284733548, 0.0, 0.23571965642681778]","[0.19707355514145902, 0.0, 0.15600770352654894]",0.09051571944895134,-0.10895334858538411,0.10009914196004244
0.049999999999999996,0.05499999999999999,"[0.2395506841203336, 0.0, 0.22626624570078527]","[0.19610228954933778, 0.0, 0.1568115452469911]",0.08192507800376644,-0.13519851003182276,0.12918095439394484
0.075,0.08,"[0.2383452805842782, 0.0, 0.21388273341232109]","[0.19507706047774664, 0.0, 0.15755791812421163]",0.07102551434820384,-0.17039216720348327,0.15717494876212595
0.10000000000000002,0.10500000000000002,"[0.23613112239887485, 0.0, 0.2003108247176975]","[0.19399887970400187, 0.0, 0.15824608557829142]",0.05953627594472096,-0.20356266122904254,0.15194522084687134
0.12500000000000003,0.13000000000000003,"[0.23300155687767368, 0.0, 0.18689367752012928]","[0.19286881126235683, 0.0, 0.15887536847103678]",0.04894550962646311,-0.23491713539912001,0.13929012225470677
0.15000000000000005,0.15500000000000005,"[0.23057138447461437, 0.0, 0.17857423672549666]","[0.19168797039392854, 0.0, 0.1594451457762068]",0.043334074480901055,-1.6424202763147546,-0.034505946007236554
0.17500000000000007,0.18000000000000008,"[0.2313329075315128, 0.0, 0.1826725224890963]","[0.19045752244608957, 0.0, 0.15995485519239133]",0.04676419050176555,-1.1157682342009645,0.1625702496517929
0.2000000000000001,0.2050000000000001,"[0.23266056857069395, 0.0, 0.19265082005190126]","[0.18917868172241065, 0.0, 0.1604039936979345]",0.054134391044785915,-0.8020395643155223,0.459000434415466
0.22500000000000012,0.23000000000000012,"[0.23230142876235585, 0.0, 0.2017147087939083]","[0.18785271028428968, 0.0, 0.1607921180473566]",0.06041810165630942,-0.6349417941082656,0.6658674952718326
0.2500000000000001,0.2550000000000001,"[0.22948068764839624, 0.0, 0.20618822965629385]","[0.18648091670544964, 0.0, 0.1611188452087835]",0.06229148991333698,-0.5121414364449604,0.8084519225317055
