# ===== Simulation Performance =====
# wall_clock_time,0.520245
# physics_time,10.005000
# real_time_factor,19.231330
# control_time,0.000092
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1
0.0,0.005,"[0.24, 0.0, 0.24]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.16998293798164904,0.0028312609136393395,0.08537230705268824
0.025,0.030000000000000002,"[0.23984741797886566, 0.0, 0.2318210112711809]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.16453483052815038,0.07463992118084985,0.13954979273718468
0.049999999999999996,0.05499999999999999,"[0.2385525935695387, 0.0, 0.2151200470105654]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.15335700551732517,-0.18683794653715774,0.21500517332871377
0.075,0.08,"[0.2353810661838089, 0.0, 0.196233872328615]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.1405557564009014,4.0785462360232945,0.1835315298776047
0.10000000000000002,0.10500000000000002,"[0.22895515669084154, 0.0, 0.17276454470296135]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.12458244395175565,-2.152821276931201,0.2980362247822972
0.12500000000000003,0.13000000000000003,"[0.2202285273500438, 0.0, 0.15405537188065188]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.11048984902442942,-1.7732502029037973,0.7886612448992458
0.15000000000000005,0.15500000000000005,"[0.2128440516640932, 0.0, 0.14701570895450758]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.10172322403041877,-1.0903377241788355,0.8254564089319512
0.17500000000000007,0.18000000000000008,"[0.20598811502495953, 0.0, 0.14729027640630757]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.09507150399667816,-0.8408532931498006,1.0686880806161252
0.2000000000000001,0.2050000000000001,"[0.19829687568261978, 0.0, 0.15002669240599226]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.08825389812399673,-0.5168734735024024,1.0516448277342476
0.22500000000000012,0.23000000000000012,"[0.1879483003411107, 0.0, 0.15045975053299934]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.07844442994263748,-0.3258871133395102,1.021681124614044
0.2500000000000001,0.2550000000000001,"[0.17393393128490597, 0.0, 0.14760109910084226]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.0642365067450301,-0.2678767067166737,0.9962259733091933
0.27500000000000013,0.28000000000000014,"[0.15700718960476703, 0.0, 0.14356401804164537]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.046941590529002326,-0.2847052640863926,0.9549282291034897
0.30000000000000016,0.30500000000000016,"[0.1393876734082608, 0.0, 0.14083696414159919]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.029738316049181725,-0.32363626063751333,0.8801457046832285
0.3250000000000002,0.3300000000000002,"[0.12340658831937287, 0.0, 0.1405951550096909]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.017147510432714595,-0.3642834765439882,0.7854893619202218
0.3500000000000002,0.3550000000000002,"[0.11062678553592162, 0.0, 0.14264771119685843]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.01598315970026672,-0.39464431566872105,0.6794290521488396
0.3750000000000002,0.3800000000000002,"[0.10156102565048603, 0.0, 0.14608117776639326]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.022435391086324624,-0.4085467988068968,0.5679736311135665
0.40000000000000024,0.40500000000000025,"[0.09589789926703805, 0.0, 0.14987873395495208]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.028756172312832586,-0.40247389853772303,0.4551734685295338
0.42500000000000027,0.43000000000000027,"[0.09292128699479209, 0.0, 0.15323219406080157]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.033226756781664604,-0.3773564306990281,0.3449127637506207
0.4500000000000003,0.4550000000000003,"[0.0918573383825365, 0.0, 0.15561346967278256]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.03576900905924362,-0.3388660543192555,0.24119820417898644
0.4750000000000003,0.4800000000000003,"[0.0920624938099763, 0.0, 0.1567492022322164]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.036569503104614556,-0.2955118051822017,0.14777304078224912
0.5000000000000003,0.5050000000000003,"[0.0930773767850834, 0.0, 0.15657651349439777]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.03585093901340985,-0.2552853141268085,0.06742879382626797
0.5250000000000004,0.5300000000000004,"[0.09460497574967511, 0.0, 0.155195031228632]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.03385480589675743,-0.2233584407580983,0.0016817115982076438
0.5500000000000004,0.5550000000000004,"[0.09646313663322979, 0.0, 0.1528139657809446]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.030846030375194018,-0.2016900746773581,-0.049137782664313664
0.5750000000000004,0.5800000000000004,"[0.0985396541238106, 0.0, 0.14969901383855264]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.02710299609986305,-0.18991383463956074,-0.08557684398396417
0.6000000000000004,0.6050000000000004,"[0.10075969763567952, 0.0, 0.14612748956277744]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.022898112376542473,-0.18647497652826212,-0.10874409533801288
0.6250000000000004,0.6300000000000004,"[0.10306552409655798, 0.0, 0.1423566439317805]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.018479501473907114,-0.18946057971026814,-0.12006856098227102
0.6500000000000005,0.6550000000000005,"[0.10540536691880165, 0.0, 0.1386051568263284]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.014059150301483036,-0.19704217623140396,-0.12113616222389473
0.6750000000000005,0.6800000000000005,"[0.10772837645793182, 0.0, 0.13504502997394355]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.009808217639505831,-0.20765135883436497,-0.11358177074610128
0.7000000000000005,0.7050000000000005,"[0.10998326871803157, 0.0, 0.13180062871732395]","[0.11313708498984758, 0.0, 0.1268629150101524]",0.005858973777920605,-0.22001687086904007,-0.09901851216667083
