# ===== Simulation Performance =====
# wall_clock_time,0.362525
# physics_time,10.005000
# real_time_factor,27.598080
# control_time,0.000113
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1
0.0,0.005,"[0.24, 0.0, 0.24]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.09468288445399207,0.0,0.0
0.025,0.030000000000000002,"[0.23995819569967033, 0.0, 0.2356658841032394]","[0.19742366992410598, 0.0, 0.15569160681577834]",0.09058184647380434,-0.08590641271019386,0.07784189659013939
0.049999999999999996,0.05499999999999999,"[0.23955603898277344, 0.0, 0.22609221339024466]","[0.19683585115799968, 0.0, 0.15621400923949044]",0.08190224577579318,-0.10908842366036124,0.09043152083583575
0.075,0.08,"[0.23837712290492583, 0.0, 0.21356606234842207]","[0.19622666904923833, 0.0, 0.15671419213267193]",0.07077284724574064,-0.14430316335006224,0.10656605118835191
0.10000000000000002,0.10500000000000002,"[0.2362257803985397, 0.0, 0.1998636773623402]","[0.1955963584491211, 0.0, 0.15719196266529603]",0.05892049866667655,-0.18083729472153642,0.0978972105644596
0.12500000000000003,0.13000000000000003,"[0.23320415433405892, 0.0, 0.18635918366574084]","[0.19494516235438294, 0.0, 0.15764713664772761]",0.047834423914849364,-0.21734994195018925,0.08545525755409714
0.15000000000000005,0.15500000000000005,"[0.22962172674355685, 0.0, 0.17397538938009124]","[0.19427333181351442, 0.0, 0.15807953860173185]",0.03875805846657078,-0.24956610188774625,0.06467827469390325
0.17500000000000007,0.18000000000000008,"[0.22597919758601875, 0.0, 0.1636711334018357]","[0.1935811258299779, 0.0, 0.15848900182812437]",0.032809900047955455,-1.7366245801844793,0.05420265123955525
0.2000000000000001,0.2050000000000001,"[0.22459698221270863, 0.0, 0.16229231433736968]","[0.1928688112623568, 0.0, 0.15887536847103678]",0.03191163347289196,-1.191804430245701,0.4050247693000618
0.22500000000000012,0.23000000000000012,"[0.22432943474542344, 0.0, 0.1673565891732953]","[0.1921366627214765, 0.0, 0.15923848957877357]",0.03320057396510479,-0.7687835136955818,0.6131866339244798
0.2500000000000001,0.2550000000000001,"[0.2227417406659355, 0.0, 0.17271412273530334]","[0.1913849624645365, 0.0, 0.15957822516123524]",0.03399704905205948,-0.5968379212138635,0.7349830085497453
0.27500000000000013,0.28000000000000014,"[0.21883348418090437, 0.0, 0.17510841590854337]","[0.19061400028629522, 0.0, 0.15989444424388768]",0.032059385600648235,-0.5056179264865159,0.7614472455257134
0.30000000000000016,0.30500000000000016,"[0.21275225941015197, 0.0, 0.17438932946605873]","[0.18982407340734828, 0.0, 0.160187024918255]",0.02697048697832001,-0.46841990739403483,0.7546962474546346
0.3250000000000002,0.3300000000000002,"[0.20502639304152925, 0.0, 0.17162480663414742]","[0.1890154863595444, 0.0, 0.16045585438891768]",0.01952164509039772,-0.45916589074697556,0.7144405561341794
0.3500000000000002,0.3550000000000002,"[0.19641205779309434, 0.0, 0.1681858891267759]","[0.18818855086858272, 0.0, 0.16070082901699742]",0.01111990067331933,-0.46508096348287786,0.659086341098126
0.3750000000000002,0.3800000000000002,"[0.1877241000074714, 0.0, 0.16516609297589976]","[0.18734358573383644, 0.0, 0.16092185436011175]",0.004261261848347986,-0.47179898488405403,0.5933699947121484
0.40000000000000024,0.40500000000000025,"[0.17967688925950848, 0.0, 0.16314767306968794]","[0.18648091670544964, 0.0, 0.1611188452087835]",0.007100065631689803,-0.4725633657282451,0.5229794775870558
0.42500000000000027,0.43000000000000027,"[0.17275726400227343, 0.0, 0.16223797087155167]","[0.18560087635875444, 0.0, 0.16129172561929062]",0.01287842220308755,-0.4651721912832223,0.45039082081799986
0.4500000000000003,0.4550000000000003,"[0.16719787333994118, 0.0, 0.16224176352085792]","[0.1847038039660568, 0.0, 0.16144042894294391]",0.017524261587642802,-0.45063418015465606,0.37793451131026157
0.4750000000000003,0.4800000000000003,"[0.16302411602900274, 0.0, 0.16283913312361778]","[0.18379004536584065, 0.0, 0.16156489785178146]",0.02080498730474347,-0.43104367459501663,0.307569069477398
0.5000000000000003,0.5050000000000003,"[0.1601300812980538, 0.0, 0.1637082916387504]","[0.18285995282944062, 0.0, 0.16166508436066948]",0.02282151957724444,-0.4087084509281428,0.2410958101552182
0.5250000000000004,0.5300000000000004,"[0.15834644557590588, 0.0, 0.16458856197277802]","[0.18191388492523453, 0.0, 0.16174094984580167]",0.02373885195855071,-0.38576215171810907,0.17999566526735367
0.5500000000000004,0.5550000000000004,"[0.1574865556436923, 0.0, 0.16530130260394527]","[0.18095220638040874, 0.0, 0.16179246505958939]",0.023726540106181564,-0.36401155850229405,0.12538119530624064
0.5750000000000004,0.5800000000000004,"[0.1573713665769653, 0.0, 0.16574736864596357]","[0.17997528794034864, 0.0, 0.16181961014193705]",0.022942636027012474,-0.3448361852337454,0.07799789350239422
0.6000000000000004,0.6050000000000004,"[0.1578395659562978, 0.0, 0.16589365333540032]","[0.1789835062257094, 0.0, 0.16182237462789864]",0.021532336622638107,-0.329133111458892,0.038272099363972016
0.6250000000000004,0.6300000000000004,"[0.15874934026216173, 0.0, 0.1657557726407715]","[0.1779772435872214, 0.0, 0.16180075745171227]",0.01963044603221052,-0.31732283274452133,0.006366292529185738
0.6500000000000005,0.6550000000000005,"[0.1599764654529342, 0.0, 0.16538064720964657]","[0.17695688795828687, 0.0, 0.1617547669472108]",0.017363230003021004,-0.30941540474977713,-0.017775091800863913
0.6750000000000005,0.6800000000000005,"[0.16141148380624112, 0.0, 0.1648310162506808]","[0.17592283270542414, 0.0, 0.1616844208446092]",0.014848579377278182,-0.3051143259570964,-0.03439301355041577
0.7000000000000005,0.7050000000000005,"[0.16295728805419715, 0.0, 0.16417296570273676]","[0.17487547647661733, 0.0, 0.16158974626366918]",0.012194926729697355,-0.30392898218239794,-0.04388949170547715
0.7250000000000005,0.7300000000000005,"[0.16452753382348406, 0.0, 0.16346690217173904]","[0.17381522304762995, 0.0, 0.16147077970324386]",0.009499772420092329,-0.305273049529676,-0.0468057118604181
0.7500000000000006,0.7550000000000006,"[0.16604582716319316, 0.0, 0.1627619067043439]","[0.17274248116634178, 0.0, 0.16132756702720685]",0.006848540366187236,-0.3085380906474799,-0.043799139270957674
0.7750000000000006,0.7800000000000006,"[0.16744544561769917, 0.0, 0.16209305295730378]","[0.17165766439516855, 0.0, 0.16116016344677106]",0.004314286716031707,-0.313141805306367,-0.03561899304698499
0.8000000000000006,0.8050000000000006,"[0.16866933248069652, 0.0, 0.1614810830853723]","[0.17056119095162608, 0.0, 0.16096863349920337]",0.0019600339416430174,-0.31855608116282497,-0.023080957373876207
0.8250000000000006,0.8300000000000006,"[0.16967016760264222, 0.0, 0.16093378234100875]","[0.1694534835470991, 0.0, 0.16075305102294446]",0.00028216269997267257,-0.3243214196156914,-0.007042194957527488
0.8500000000000006,0.8550000000000006,"[0.17041040410755995, 0.0, 0.16044843596827835]","[0.16833496922387825, 0.0, 0.1605134991291428]",0.002076454471281405,-0.33005318272816186,0.01162276906733482
0.8750000000000007,0.8800000000000007,"[0.1708622318740087, 0.0, 0.16001484148138795]","[0.16720607919052705, 0.0, 0.1602500701696135]",0.0036637119128957773,-0.33544310138759326,0.03204525386383007
0.9000000000000007,0.9050000000000007,"[0.17100746897814775, 0.0, 0.15961844955888205]","[0.1660672486556427, 0.0, 0.15996286570123505]",0.004952211557880498,-0.34025767301076226,0.053384889256385216
0.9250000000000007,0.9300000000000007,"[0.17083739005003318, 0.0, 0.15924329857544914]","[0.1649189166600751, 0.0, 0.15965199644679723]",0.005932567843496294,-0.34433391937925995,0.07485134352860434
0.9500000000000007,0.9550000000000007,"[0.17035248400700495, 0.0, 0.1588744875132103]","[0.16376152590766804, 0.0, 0.1593175822523152]",0.00660583542143136,-0.34757253298300406,0.09572490235195139
0.9750000000000008,0.9800000000000008,"[0.16956210606901884, 0.0, 0.15850000543724563]","[0.16259552259458845, 0.0, 0.15895975204082693]",0.006981737050742533,-0.34992856612639656,0.11537503099300948
1.0000000000000007,1.0050000000000006,"[0.16848396435733845, 0.0, 0.15811181148782893]","[0.16142135623730947, 0.0, 0.15857864376269046]",0.007078019908841154,-0.351400264302682,0.1332757381994864
